player,insta_mentions,G,MP,PTS,TRB,AST,STL,BLK,FG%,eFG%,TOV
Jalen Johnson,6,15.0,29.9,14.1,7.3,2.4,1.1,1.0,0.594,0.654,2.0
Jalen McDaniels,2,17.0,8.4,2.1,1.2,0.5,0.3,0.2,0.28,0.33,0.4
Jalen Pickett,0,12.0,6.4,2.3,0.8,0.7,0.3,0.0,0.476,0.619,0.5
Jalen Slawson,0,5.0,3.8,0.8,0.8,0.4,0.0,0.2,0.667,0.667,0.4
Jalen Smith,3,15.0,14.9,10.0,5.4,0.8,0.3,0.3,0.722,0.823,1.0
Jalen Suggs,10,24.0,26.0,12.4,3.5,2.5,1.6,0.6,0.471,0.561,1.9
Jalen Williams,3,23.0,32.0,17.0,4.0,3.8,1.0,0.3,0.497,0.535,1.7
Jalen Wilson,0,7.0,7.4,2.6,1.1,0.6,0.1,0.1,0.667,0.778,0.3
Jamal Cain,1,8.0,14.1,4.6,1.5,0.1,0.8,0.3,0.448,0.517,0.3
Jamal Murray,8,16.0,29.3,19.3,3.4,5.9,0.6,0.9,0.467,0.547,1.9
Jamaree Bouyea,0,6.0,9.5,1.7,1.7,1.3,0.0,0.0,0.238,0.238,1.3
James Bouknight,0,3.0,6.0,5.7,1.3,0.0,0.0,0.0,0.545,0.773,0.3
James Harden,34,23.0,33.7,17.4,4.8,7.7,1.5,0.9,0.468,0.59,2.3
James Johnson,0,3.0,5.3,0.7,1.0,1.3,0.3,0.0,0.5,0.5,0.3
James Wiseman,0,18.0,14.3,6.8,4.2,0.7,0.2,0.6,0.711,0.711,1.0
Jarace Walker,0,8.0,10.5,3.8,1.5,1.4,0.5,0.4,0.429,0.482,0.4
Jared Butler,0,14.0,7.9,4.5,0.7,1.9,0.6,0.1,0.512,0.593,0.7
Jared Rhoden,0,5.0,6.0,2.6,0.8,0.6,0.0,0.0,0.556,0.611,0.4
Jaren Jackson Jr.,2,27.0,31.5,21.5,5.8,1.7,0.7,1.8,0.455,0.506,2.1
Jarred Vanderbilt,0,8.0,14.1,0.9,3.8,0.8,0.3,0.3,0.188,0.188,0.3
Jarrett Allen,3,24.0,29.0,13.0,8.3,2.3,0.8,0.9,0.677,0.677,1.8
